L.p.,crossoverChance,mutationChance,numberOfMixes,nofPointsMax,nofPointsMin,thicknessMax,thicknessMin,divider,size,Benford,Fractal
1,0.42434656839357776,0.0008830206722571016,488,15,12,1,1,263,60052,-9.844570675474555,1.8198478948745878
2,0.6394821582858015,0.0006176403388576819,300,22,4,1,1,717,30384,-10.915869962525752,1.7680351539149424
3,0.17299843217597405,0.00046463365079741346,239,16,1,2,2,131,19722,-1.549536274020845,1.9371732393656982
4,0.4080198786998951,0.0006525561742000966,231,30,10,2,2,1830,81098,-10.359747719028778,1.6603826944450646
5,0.5836741418440247,0.0005599033329028748,338,18,17,2,2,1625,88418,-4.902458045118045,1.8263493074743191
6,0.6906862865320914,0.0007650477868134774,310,19,9,2,1,256,16034,-11.49871485033847,1.7259489431300348
7,0.1861442534159064,0.0005490880404510596,107,9,1,3,1,906,41032,-10.351187838155608,1.9917462218372557
8,0.5360495122762334,0.00011225523781678482,242,5,2,1,1,1908,92274,-12.355854348624288,1.996678602780001
9,0.4288386871714075,0.00044195641876016177,157,31,19,3,1,663,99284,-3.557769306996985,1.8983875396768906
10,0.1059731497420124,0.0001392179861695026,291,5,2,2,1,934,22144,-8.981387596106279,1.989807046084532
11,0.15563059122536932,5.730812249790657e-05,232,3,1,5,3,547,28576,-15.668892976468161,1.9990414556369993
12,0.5659141052760858,0.00028112798256196695,48,33,23,1,1,410,75322,-1.6954264758875117,1.9706249132094884
13,0.5083146636892716,0.0003827651196892984,386,4,4,1,1,191,58012,-5.001959125094055,1.9906150932800215
14,0.3236746617815468,0.0007303844396634837,43,19,11,3,2,841,38780,-8.227242196620203,1.9882607517222415
15,0.7661531679385947,0.0006396987072820541,445,37,17,1,1,1376,69342,-15.145308507764936,1.4553787346141849
16,0.8399961337407088,0.00039924138573415956,279,5,2,3,3,1852,83070,-11.675762900841157,1.9911307082974448
17,0.507342933862191,0.0008311273819539223,347,7,5,3,2,1441,4480,-11.981968253954026,1.6180735378387947
18,0.5702808402045542,0.0007145271347627707,133,20,13,4,2,481,34732,-4.406801504464918,1.8413036787261117
19,0.33246826146720726,0.0008213349177926127,86,3,1,3,3,627,3762,-2.397733010363938,1.9612146708937617
20,0.7983814209836103,0.00042571578632147724,371,38,24,1,1,1034,65856,-15.12324815002764,1.4613174075774427
21,0.22960478312616212,0.0007466852324234813,231,21,19,2,2,1088,38610,-1.5122913203461639,1.9329941214845754
22,0.7905110525884433,0.00012405135376860742,474,7,4,3,2,131,52496,-5.334213389818565,1.9816026639652642
23,0.12413028873252668,0.0005044075682743327,324,7,1,3,2,884,57634,-8.746465308609782,1.9878544636608861
24,0.5882337544525571,0.0006469028716026312,395,8,5,1,1,80,19720,-8.505293046141112,1.8730142456676389
25,0.6478070799929891,0.000309167223022663,264,19,4,1,1,735,15564,-10.36400725214953,1.778838588691088
26,0.6702765648191849,0.0008693946678139503,216,21,3,3,3,833,15184,-11.93269128798112,1.6296942599085622
27,0.7740120823754569,3.449572244446991e-05,272,9,6,5,4,570,9068,-1.59239230046751,1.887526187400454
28,0.8732551444475034,0.0009832588770170723,411,21,2,2,1,196,56162,-10.477059067272773,1.774391875053913
29,0.4888591322374357,0.0006161921893560041,289,8,2,2,2,1303,36260,-1.83744892993795,1.940469336816098
30,0.8626349067450774,0.0003398382671190171,219,13,1,3,3,940,20320,-1.6546460569600157,1.9117200480717518
31,0.6693844321016662,0.00015851111645293571,454,23,21,2,2,1905,77810,-8.123314631729574,1.7297687887673714
32,0.6026956243137936,0.0002456617211318563,410,13,11,4,4,70,48200,-7.000537891157214,1.9822275094248325
33,0.38959411451079384,0.0008819601606500085,362,7,2,3,2,137,28634,-2.7116005180557456,1.9179191512521856
34,0.5875352319968193,0.0009754920253462733,458,3,1,2,1,854,7140,-9.506075598186243,1.7433923085781415
35,0.7819339637347215,0.0007836048214920062,34,13,13,1,1,575,58246,-5.438626813453047,1.9908170838198305
36,0.6512741986184265,0.00042143938063665166,326,20,1,5,2,651,30026,-1.6973339526118394,1.8955047368433264
37,0.8703033540553055,0.00013258449312504803,256,40,17,2,1,1185,62410,-9.96555408370734,1.7353884735737355
38,0.14501097636443847,0.00048552456065074445,271,12,5,1,1,409,71978,-1.501832335238902,1.9657252940203067
39,0.174847983094676,0.0008580329034233485,494,16,13,3,1,387,23378,-9.624504115824601,1.750641878110071
40,0.5179746315862375,0.0008335400052632931,382,3,1,3,1,404,6482,-6.6865726117531885,1.8414234208863673
41,0.37762223973923736,0.0005942029068132183,240,35,22,2,1,1641,77702,-11.97814788381503,1.6227224053736498
42,0.19027092476235197,0.0007635249746589118,196,13,4,1,1,921,53544,-2.7886869209846163,1.9315597667215396
43,0.6490640615101155,0.00037925786350681735,211,18,1,1,1,957,26972,-3.8133697324376254,1.913051315391252
44,0.3155171373222657,0.00032436922440264113,31,22,19,3,3,1315,58832,-13.420019027636842,1.997157066035405
45,0.1582034372158807,0.00013116417247638291,359,2,2,2,2,648,25248,-14.573006117927708,1.9977590191158883
46,0.851739142061507,0.0004754645769035458,485,8,7,2,2,556,17920,-6.384215183472295,1.8231672218131019
47,0.7161182552781277,0.0005872199621033658,219,39,11,3,2,1884,75170,-12.146903004532845,1.5845493594136961
48,0.814581817344678,0.0008657527480848569,80,32,24,1,1,420,18226,-8.953090828409957,1.8170429786933306
49,0.7722362972536463,0.0006457030663297327,21,6,1,3,3,299,29372,-11.394549705298385,1.9943166426364884
50,0.22688789606116835,0.0009120234223727729,440,11,11,2,1,504,9588,-10.645972622129484,1.741982029383873
51,0.14580324747895157,0.0007548422500749019,330,34,2,1,1,550,4520,-15.476701215990698,1.4741935560430954
52,0.7011236651335454,0.0009877778404632648,104,22,6,3,2,1627,5290,-15.507436572247546,1.3273372659722018
53,0.5578909927952749,0.0006645009892528254,198,9,8,2,2,336,15896,-2.3655994382268006,1.9118251235942096
54,0.8487570961099155,0.0009725998111918793,120,17,11,3,2,212,47610,-1.9376713405452444,1.919472095235765
55,0.26522421314472433,0.0009144346790071647,401,21,4,2,1,1929,18878,-15.256644016799955,1.377231071756037
56,0.4024035751625791,0.0008301732346256454,317,4,2,2,2,1126,22960,-2.412301471731324,1.9511218641982764
57,0.8487388176466721,0.0009702864988151555,489,10,3,2,1,425,17466,-14.531702669324789,1.5326442116638985
58,0.5083234925212484,0.0007355045861185875,90,9,5,2,1,716,37350,-2.882435525115727,1.970328290900437
59,0.773477235316034,0.0002694131459979045,431,4,4,2,2,778,32806,-10.789240555147392,1.9921142292703646
60,0.12064715316184281,0.0005961140756352135,178,3,2,4,4,911,58274,-16.010985739018732,1.9994169637728003
61,0.668005419843203,0.00018525255881713114,373,13,13,1,1,663,52640,-1.8244293622879049,1.953233681695247
62,0.1397394000016428,0.0003895452563069974,477,19,10,1,1,1067,62618,-8.51419740602692,1.8164014863699343
63,0.4523710308512774,0.0001462895671516811,28,33,25,2,1,215,92070,-6.343130601826569,1.991457765869808
64,0.8856893098912263,0.00018213716075547788,218,6,3,1,1,872,44746,-4.775633207976848,1.986453908734622
65,0.8933756826621008,0.00032699409283343077,146,16,3,1,1,348,56354,-1.8834202305110237,1.9540617650666374
66,0.5005229232836536,0.00011757898259442726,364,15,13,5,1,803,7460,-9.755114541895944,1.7131722249337433
67,0.48558296719785654,0.00032097594711824465,80,20,4,2,2,339,67328,-1.9075631235204047,1.95495367209158
68,0.20158492983415163,0.00020627484495735926,329,17,14,1,1,1118,23612,-4.79399735832287,1.8949732430386987
69,0.32748580798643323,0.00035572761247983347,280,35,21,1,1,1033,42856,-11.806809970459112,1.6917472811101606
70,0.5501277257772866,0.0007992455161625141,388,19,14,3,2,412,20846,-11.532420823140377,1.6406570257144628
71,0.595526465182963,0.0007085854789452567,48,15,7,2,2,800,39366,-3.6008292815143736,1.9688599757401377
72,0.663120653759734,4.6093197144022245e-05,47,8,7,3,2,373,13684,-5.135049652704417,1.979010048307996
73,0.3081341584233084,0.0006583665368770905,242,31,6,3,3,1922,77118,-8.554376207401807,1.7260391772302208
74,0.5282639891628715,0.0007987014520717315,371,26,16,3,3,1286,14066,-15.2799620280813,1.3459670203969771
75,0.7626731800139241,0.0008315827799307438,225,5,2,1,1,547,30258,-1.711312486377155,1.9598441804453035
76,0.8061820633754568,0.0004042992611925561,432,5,4,3,2,1891,93816,-11.30127211556576,1.9918415890247205
77,0.3344874031514721,0.0006044316490354253,135,18,1,3,3,1059,6562,-9.067005425226638,1.7332632127892367
78,0.20155709212074469,0.0004399498878006506,155,1,1,2,1,548,53928,-15.334886470256372,1.9991695289867968
79,0.277796077215611,0.000606169140068148,263,36,11,2,1,1031,2954,-16.05907155816943,1.206067224630086
80,0.2895631910998392,5.307388487447556e-05,60,2,1,2,1,93,2088,-4.233915481705609,1.9132745456171147
81,0.45916469991184455,6.161786550968628e-05,79,3,2,1,1,64,4134,-7.770760348096089,1.8949451022071906
82,0.16325863407907573,0.0008794355475276991,217,33,27,3,3,706,48162,-5.379313063769669,1.8315546454523854
83,0.2498912670872226,5.268462962676768e-05,63,1,1,2,1,96,4928,-1.6086954670089222,1.9661431455793068
84,0.27390605853642475,1.384077379979172e-05,79,5,2,2,2,77,3290,-2.1658524404784316,1.9196069453848077
85,0.5608069563052117,0.00021715402289885233,462,3,1,2,2,970,45014,-12.03318053100943,1.9929470474530946
86,0.5331905964794077,0.00085374819339573,84,33,20,2,1,1887,30734,-5.361409639081252,1.8323215480338892
87,0.385172078613517,0.000975595068732365,473,8,6,3,3,1734,98772,-3.235564399272853,1.8609511439253057
88,0.6779745104081837,0.0006946450029803693,485,7,2,1,1,1927,45088,-5.735814352334277,1.869083037656819
89,0.3935808807925048,3.528309344657704e-05,88,3,1,1,1,96,4202,-5.7693333057326335,1.9276026018332912
90,0.16010436583973925,0.0007354346507146939,490,33,30,2,2,1967,16370,-16.45763101298627,nan
91,0.7229189637423546,0.0008496670184276622,364,23,20,1,1,1235,3024,-16.45763101298627,nan
92,0.3270774934790819,3.644713592196425e-05,85,5,4,2,2,57,2604,-4.021171876492852,1.880726760536231
93,0.6218848657066859,0.0006369979229484257,211,11,1,3,2,94,46158,-2.255688439911457,1.9670293827626308
94,0.31484030340381575,0.00046180693298899687,411,10,2,1,1,911,2528,-15.072658584462243,1.508432774264115
95,0.28370279444844204,0.0006901194072167922,64,15,14,4,2,798,11586,-7.175256492004565,1.98168922305736
96,0.4657832148684271,0.0004816691638340561,320,28,19,3,1,215,90098,-3.2444339496568357,1.9056543863402833
97,0.7075671810057135,0.0008144791096798017,269,27,8,3,2,1333,77304,-11.15244284284339,1.63153448898293
98,0.7159352807542424,0.000522813396427632,46,1,1,2,1,771,8718,-11.459850857693432,1.993902102510047
99,0.3844479091274764,7.0145662313324e-05,86,2,2,1,1,93,2808,-7.627895689398694,1.902628355599939
100,0.16084615092660004,0.0003755720580330635,250,30,14,2,2,1586,31486,-5.695627069922068,1.8070195822173043
101,0.4101757825085246,0.0003141628056049483,341,4,1,2,1,1617,15856,-4.205628865910099,1.971636779176106
102,0.4782656128979435,4.525258565822716e-05,65,2,2,1,1,74,2970,-8.35590445315858,1.8924079210051223
103,0.3148297112713646,0.00024103828069601114,439,27,3,2,2,1608,23736,-9.454653604067806,1.7074850160507802
104,0.30643442610661104,2.4317940752657325e-05,99,1,1,2,1,84,3176,-2.2209961123593085,1.9443376364943117
105,0.3925204314011046,9.880748190943456e-05,85,5,1,1,1,55,4010,-9.135084200157124,1.8765501384333465
106,0.3743604586144885,0.00038786838781938976,449,21,2,3,3,820,47018,-4.7597964353188225,1.8367640029061472
107,0.36237048282717216,5.4574721890371925e-05,79,5,4,2,2,70,4502,-1.740146584216208,1.9285339825294472
108,0.467904805148388,6.057642084116892e-05,90,1,1,2,1,68,4144,-2.178548934167158,1.9470382755321871
109,0.7801784783709685,0.0004167474469049909,197,12,9,1,1,245,32140,-2.3175661062472526,1.943748558705152
110,0.5010812997620153,0.0004277764657102356,477,21,13,1,1,1498,98038,-9.720989638909419,1.7642108955460138
111,0.42339193365456596,7.397959842214877e-05,234,18,3,1,1,636,52222,-2.0036346962565017,1.946954343972624
112,0.469431554324676,0.0008123888963942169,116,7,7,3,2,536,55296,-10.56282881792413,1.9926065000129842
113,0.2170554037017592,0.0005027748146740238,424,27,22,2,1,1520,36844,-11.263623854924822,1.6624468638943368
114,0.7672032390745477,0.0008769614894241519,293,18,17,5,1,345,47544,-5.461110296135174,1.8428033457811674
115,0.3302688735894812,0.0003763576765702084,316,14,13,4,4,148,37254,-5.924502766833968,1.9738770908228145
116,0.2781406825475308,0.0009736536243698653,20,26,24,2,2,1285,89342,-14.686485672090555,1.9990122569529734
117,0.1707612784339604,0.0008455284021719018,423,30,4,1,1,1792,14602,-15.656512983792641,1.3830134372117944
118,0.8415356722290283,0.0007238264609365722,130,26,8,1,1,148,70494,-2.409080428719679,1.9369007168737244
119,0.7278391390731601,0.000864805542178382,146,8,5,2,2,883,2032,-12.281279433666983,1.6207196675294473
120,0.4311177496159333,0.0007112646573697668,157,23,23,3,1,51,95584,-1.735986162969795,1.9612406500629709
121,0.7956150039497504,0.0009954093967176176,30,15,9,3,2,288,18200,-2.2892850305429864,1.9622981722802648
122,0.38034111954145633,0.00036533053183049455,471,11,6,5,1,480,34382,-2.73219906546315,1.8835556554843624
123,0.5914415829937225,0.0002927744644615881,53,30,2,2,2,1246,42826,-1.581772193116538,1.9154754223082546
124,0.8532363733935683,0.00018257645043308243,124,6,6,3,3,1395,9472,-5.663783754994925,1.9783430410267349
125,0.41532934949562816,0.0004545404710641501,26,20,10,4,1,715,18770,-7.306657876525195,1.9845079987208794
126,0.4148090724782467,0.00019906392752388758,436,16,9,2,1,217,10324,-7.838093074454062,1.8372557525682955
127,0.11842062539304693,0.00027218537834958336,465,1,1,2,2,420,92906,-15.852000701533573,1.9995272446198578
128,0.7223695852557654,0.0005223514833853648,64,15,13,1,1,768,46250,-1.8414187531001613,1.9720937311059576
129,0.7983294984694927,0.0008931696393442295,362,18,9,2,1,515,4468,-15.67672347735825,1.3507248616629868
130,0.6997636374428181,0.0002695096119437964,414,30,24,1,1,794,35734,-11.790051986540902,1.7045171318981804
131,0.7229282814577644,0.0002992243922189926,112,4,3,4,4,449,23926,-14.237194886430892,1.9961980071581296
132,0.24880312173080574,0.0003953252500323853,350,22,19,1,1,1520,65724,-4.984069137610702,1.8889403695867533
133,0.5165526016259678,0.0007944064270704761,202,6,1,2,2,87,29926,-2.4325160207686483,1.9694247865278378
134,0.11661975906999872,0.0009937949995460081,478,1,1,5,3,908,37908,-11.015306191191094,1.9887852090430997
135,0.6136774321026897,0.0007897129534197052,331,18,7,1,1,529,38902,-11.55303644911332,1.7560937454849348
136,0.5071699163013271,0.0008848993940527646,57,14,5,3,3,510,38820,-2.710837943610107,1.9627808780504992
137,0.4221121757384676,0.0004708049832644742,225,13,5,4,3,57,16062,-1.515524153585186,1.9270834521247164
138,0.34310567520084145,0.0008526891691276792,215,29,24,1,1,143,96950,-3.1930714483225553,1.9267595423908703
139,0.7720476169407985,0.0002790977842781043,170,2,1,1,1,812,82276,-14.013904566120088,1.9989426414861091
140,0.8967888223271681,0.0006382023381340235,37,11,11,3,2,765,4540,-1.8052932170232814,1.9474337203011522
141,0.5192065518593216,0.0001895054769055588,255,10,3,1,1,400,45742,-1.5017424662990992,1.9677474446417047
142,0.47366695812842907,0.0006739555888648001,100,35,19,2,1,903,93986,-3.9403634044335014,1.8887936316675442
143,0.19326944808942717,0.0001875407636424878,180,40,32,3,2,606,89302,-3.061413965736166,1.9686358748337631
144,0.38859846177806645,0.0002737463563074767,51,17,4,5,3,184,23830,-6.968584656438734,1.978644947605654
145,0.638986712673729,0.00046645254298773617,324,7,3,2,2,395,40670,-2.019127917476236,1.9560202923516705
146,0.323161325468344,0.0009296135010506877,219,7,7,5,3,363,39386,-9.346190301641366,1.9857556912938161
147,0.8547342260111389,0.00016417397675976087,499,10,9,1,1,963,19066,-5.661917937882886,1.8866915314614092
148,0.44110960140345945,0.00010321468315862755,96,25,14,2,2,603,97426,-2.6650141327453243,1.9645684990529533
149,0.7196456226927455,0.00042191226765847674,446,16,13,1,1,70,37834,-4.777822445149479,1.905495682254336
150,0.6209440925112674,0.0005098252436121286,233,5,3,5,1,131,34340,-7.772644316730389,1.985240247934133
151,0.21664825024018022,0.0002514830580620162,483,1,1,1,1,190,54290,-10.23514066623816,1.9968368381262238
152,0.3912744659610532,0.0005150237282807412,129,5,5,3,3,114,85682,-11.7261280667034,1.9959017451156145
153,0.22246820114752064,0.00040429253328357756,150,18,11,4,3,555,17156,-1.9731013833001512,1.9383084648598667
154,0.11401568778608039,0.00042082519760605185,40,2,1,2,2,584,10302,-12.469981983500928,1.9946986119912835
155,0.2652976636896609,0.0007763052381278773,190,15,11,2,1,243,54194,-1.7973707021505017,1.9636527496551779
156,0.6823249713261262,0.0006631856541735358,411,25,17,3,1,1416,89268,-11.569553549405033,1.6343602521983367
157,0.5760559830242544,0.0002403416684362543,53,36,5,3,2,392,94910,-1.6978498541983118,1.9523807551810601
158,0.3650242084515517,0.0005181097136964216,258,1,1,1,1,84,4042,-9.206743590108996,1.894764354403054
159,0.12553082180620018,0.00047442299582498454,234,17,13,5,4,723,43620,-9.968000663836696,1.9870195969373625
160,0.2595586358760844,0.00016949286260129382,290,15,15,2,1,169,86384,-5.644183511767544,1.9862331271062477
161,0.7253748923441873,0.00031192882845292556,462,14,4,1,1,1425,89048,-3.0886714612946324,1.9116852697993407
162,0.5119602684086296,0.00013836141801631718,312,8,8,5,5,579,21470,-8.617751837594515,1.981102271002318
163,0.6903164058979799,0.0004337052831643057,474,9,6,5,2,80,32126,-1.7730005177869579,1.9459553034510624
164,0.742964580304287,0.00014214253298225484,159,37,25,2,1,162,15272,-6.267953729964165,1.8405025333599936
165,0.8802250861785351,0.000590172959329038,239,9,1,2,1,182,73020,-3.0018918606980693,1.9792993456622658
166,0.33352876326294467,0.00022883718927344324,179,19,4,3,2,356,85982,-1.724775568196685,1.9526444870387971
167,0.5528841092611364,0.0009453364858944027,308,19,5,2,2,1267,45104,-11.249478377907945,1.6414157017928446
168,0.7095829395897575,0.00010903219704487186,180,15,13,1,1,300,42190,-1.5016467867980798,1.9664736834213088
169,0.24134694264646514,0.00041385977167069494,35,18,9,1,1,854,45348,-5.483834430278168,1.989519198868383
170,0.34733463552508753,0.0005899645245928887,281,5,2,3,1,58,35240,-2.1442095532258127,1.9667340939779805
171,0.17482898911968495,0.00045996594621206476,325,11,10,1,1,328,16694,-3.492610683735315,1.9254374669974808
172,0.5694806115455542,0.00021774522630255993,441,11,5,4,2,512,55600,-1.5214000828402447,1.9246958112715602
173,0.8911064595502044,0.00020007312692122927,397,4,1,3,1,1448,24546,-7.505062196689874,1.9802235506249626
174,0.5368850558627755,0.0009379207447097421,375,2,1,1,1,822,56926,-2.821241861888896,1.977790197495528
175,0.2892554262917123,0.0009355312124103171,217,19,6,4,2,374,46870,-4.059462212119242,1.8543244137488288
176,0.16585733987851495,0.000766751405953052,193,34,21,3,2,1518,93098,-1.5249922853589502,1.923075135189562
177,0.8137608555449504,0.00042643533649703127,207,27,14,3,2,547,14306,-11.60637971256446,1.6259079474500922
178,0.7946547090764169,9.569578568467225e-05,437,6,4,4,1,282,28518,-5.732111667483691,1.9823931869116846
179,0.8348649268678081,0.00027279309182367677,56,29,29,2,1,96,6696,-4.656666422501229,1.862410086303633
180,0.16388241746440413,0.00042910426610891467,199,6,6,1,1,972,32110,-5.982742009068369,1.9894944029599344
181,0.28977281590878745,0.0005035836104380158,331,2,1,3,2,1016,84990,-14.964940478554448,1.9985024780048384
182,0.7107655233401847,0.0003278104232774819,85,21,14,2,1,365,21640,-3.3325170551230183,1.9081508688448334
183,0.8693006699868348,0.0008414854632974652,336,23,18,3,2,1075,17998,-14.826130184173975,1.4145300203464157
184,0.24830794991222638,0.0009690231476029156,436,7,5,2,2,656,99666,-1.5111787001903607,1.938419398113615
185,0.5239798976208517,0.0009142300718895186,214,37,7,1,1,1134,13016,-15.327699521625975,1.441127516979317
186,0.713886916046882,0.0008649083981575736,185,14,7,1,1,1246,87536,-5.5590506475506185,1.8742108098380137
187,0.727064235105014,0.0007025524330752,183,14,5,3,2,547,24742,-6.334110748705115,1.8105779491516159
188,0.3738241121379261,0.0002562404027220522,118,11,6,4,1,943,11278,-1.5430412673453675,1.9179030760501152
189,0.6849881779627184,0.00016714414559832543,432,26,18,3,1,1914,67330,-9.724754301320406,1.714573156846517
190,0.5872041696906009,0.0009024032550948755,274,38,13,2,1,1044,12662,-15.339770271688167,1.4070626464471894
191,0.8645245284111048,0.00029384443807645605,348,11,6,2,2,696,9104,-10.06619695650952,1.71371702503164
192,0.8433086851527177,0.00021146111955891336,356,16,9,2,1,443,43332,-4.612745084258203,1.8910538100970338
193,0.6465860121746523,0.0009386953150139522,337,8,6,4,4,942,47150,-1.504620936700619,1.8972235563394881
194,0.20680427675862223,0.0008872396205457083,259,5,1,3,1,486,47196,-4.9320402337384115,1.9810251447240887
195,0.30633799377665605,0.0006312923160759656,455,1,1,3,2,1323,53824,-13.825246170740446,1.9967482622827146
196,0.50380814970974,0.0004867186176610494,479,6,1,3,2,698,19830,-1.5752698370683833,1.9185295815474743
197,0.8009071849615944,0.0002491882261988446,493,35,5,2,2,1162,7718,-15.745847664655397,1.2708242659068187
198,0.40547335700880827,0.0008879472642036194,303,13,7,2,2,235,53912,-3.4922151970565607,1.8859173460201144
199,0.34548167902624116,0.00012173822731004265,401,19,6,2,1,628,33654,-6.258231986206715,1.8498321154879316
200,0.545908947627657,0.00033791634839587493,294,5,4,5,5,963,29336,-12.062308963348432,1.9910811206733048
201,0.2450432588872755,4.3993011289566216e-05,76,3,3,2,2,51,2176,-4.758598244361614,1.8771409916611308
202,0.23142221394886528,0.00047585678972275543,217,35,9,3,1,66,65404,-1.5156495837494346,1.9481914101587006
203,0.3724901330441608,1.7138170281135672e-05,67,4,3,1,1,73,2958,-8.894612305835857,1.8701164701705797
204,0.31270426639681825,1.780529099978738e-05,58,3,1,1,1,89,2994,-7.811124235920137,1.9006414600227997
205,0.23361506456520634,0.0006961500905196026,125,7,6,1,1,1141,44968,-6.056273529002648,1.9890051991096769
206,0.30998840414476125,9.122634750843686e-05,81,5,5,2,2,75,1784,-4.648496044668757,1.8714707344812258
207,0.22090334902017583,0.00023172840495915866,162,3,3,3,2,1277,12586,-12.558446539010568,1.994299706282973
208,0.6573924996306333,0.00044847121484148074,244,35,28,1,1,172,84256,-8.661501823125597,1.8223922643019197
209,0.7694474354726557,0.0005966061514108968,75,22,15,1,1,1337,10746,-9.836306090736077,1.7791371912435154
210,0.703330441894895,0.0006570061494504459,320,10,6,2,2,686,43260,-4.068199461933743,1.8592323265599748
211,0.5401930584956983,0.0001231624830333204,424,10,2,2,1,452,44310,-2.336355789433634,1.9696196281728107
212,0.7790419309057007,0.0007541276874181386,303,17,5,5,1,714,20712,-12.345504289517569,1.6231397909278327
213,0.4695922892665777,0.0009856834396640489,436,19,8,4,4,755,30512,-13.225198481513189,1.49120404841531
214,0.374216051693664,0.00044067860346565886,289,31,29,2,1,283,91248,-4.536353685509271,1.8727234526091654
215,0.7350771328993974,0.0006593807099805889,257,29,28,3,2,1585,24986,-14.0820970642885,1.4723697078530873
216,0.12712367818686765,0.00029696529729405835,289,9,6,2,2,895,45754,-7.047825835694938,1.982462789068085
217,0.8926484944888173,0.0001562322380479858,335,16,15,1,1,148,22938,-2.5024595571022847,1.9349895491051026
218,0.4918901138819018,1.5256509636291709e-05,64,4,4,1,1,97,3256,-6.943811807522725,1.8960549160376925
219,0.37005295209771194,0.00048124163968380667,122,33,21,2,2,66,66006,-2.046848495878112,1.9683679878711455
220,0.22912518836354392,7.965615262349716e-05,92,1,1,1,1,72,1726,-11.060909371521285,1.8532333804601469
221,0.489870801988175,6.574262387373888e-05,55,5,4,2,1,63,4710,-2.9508175807853108,1.9142893642783145
222,0.5712771903407724,0.00047623993286948044,232,33,26,2,2,1068,50890,-10.773960689467463,1.6490820928693553
223,0.3887788728038433,7.262492699786755e-05,85,3,3,1,1,75,2418,-9.661588658334242,1.8639834416099916
